tarih,icerik,orijinal_url
2025-09-05,"[Tarih: 2025-09-05] Yeilay Kulp Bakanlar Deneyim ve Motivasyon Kamp pek Yolu'nda ""Ba"" konu bal ile devam ediyor",https://www.instagram.com/p/DONq99pCDve/
2025-09-04,[Tarih: 2025-09-04] Yeilay Klp Bakanlar Deneyim ve Motivasyon Kamp pek Yolu Uluslararas ocuk ve Genlik almalar Merkezinde balad . Ho geldiniz,https://www.instagram.com/p/DOLBjWFjJuv/
2025-08-30,"[Tarih: 2025-08-30] Bir hilalin glgesinde biriz, birlikteyiz. 30 Austos Zafer Bayram kutlu olsun!",https://www.instagram.com/p/DN99O0QjNPj/
2025-08-29,"[Tarih: 2025-08-29] Yeilay Genlik Komisyonu Bakanlar Deneyim ve Motivasyon Kamp, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde balad! Genlik liderlerimiz, salkl yaam kltrn yaygnlatrmak ve gelecee daha gl admlar atmak iin bir araya geldi. Birlikte reniyor, paylayor ve motivasyonumuzu artryoruz.",https://www.instagram.com/p/DN7gs-PDMNj/
2025-08-26,"[Tarih: 2025-08-26] Milli Eitim Bakan Yardmcs Nazif Ylmaz, pekyolu Uluslararas ocuk ve Genlik almalar Merkezini ziyaret etti. Ziyarette, l zel daresi Genel Sekreteri Cemil Yatkn, tesiste yrtlen almalar hakknda bilgi verdi. Genler iin yaplan bu deerli almalar, eitim ve geliim yolunda nemli katklar sunmaya devam ediyor.",https://www.instagram.com/p/DN0YVSrWLJ8/
2025-08-25,[Tarih: 2025-08-25] Yeilay Kadn Komisyonu Kamp pek Yolu Uluslararas ocuk ve Genlik almalar Merkezinde tamamlad,https://www.instagram.com/p/DNyuFiCWl17/
2025-08-25,[Tarih: 2025-08-25] Yeilay Kadn komisyonu Kamp pekyolu'nda devam ediyor Mutfak atlyesi Katlmclarmz mutfak atlyesinde,https://www.instagram.com/p/DNx6xWo2Mgy/
2025-08-25,[Tarih: 2025-08-25] Yeilay kadn komisyonu Kamp pekyolu'nda devam ediyor Gne Atlye almalar ve Drama Eitimi ile baladk,https://www.instagram.com/p/DNxSMqn2rjo/
2025-08-21,[Tarih: 2025-08-21] Yeilay Proje Yazma Kamp pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde Avrupa Frsatlar Eitimi ile devam ediyor,https://www.instagram.com/p/DNm6_qotHEl/
2025-08-20,[Tarih: 2025-08-20] Yeilay Proje Yazma Kamp atlye almalar ile devam ediyor,https://www.instagram.com/p/DNknDkvNZ-F/
2025-08-20,"[Tarih: 2025-08-20] Yeilay ""Proje Yazma Kamp"" pek Yolu Uluslararas ocuk ve Genlik almalar Merkezinde Bamllk Endstrisi konu bal ile devam ediyor",https://www.instagram.com/p/DNkY3F6thZZ/
2025-08-14,"[Tarih: 2025-08-14] Yeilay Salkl Yaam ve Mutfak Becerileri Kamp tm enerjisiyle devam ediyor! Genlerimiz, salkl yaam destekleyen bilgileri renirken mutfakta da yeni lezzetler kefetmeye devam ediyor.",https://www.instagram.com/p/DNWDrGGtZ2Z/
2025-08-12,"[Tarih: 2025-08-12] Yeilay Salkl Yaam ve Mutfak Becerileri Kamp, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde balad! Genlerimiz hem salkl yaam alkanlklarn reniyor hem de mutfakta keyifli tarifler deneyerek becerilerini gelitiriyor.",https://www.instagram.com/p/DNQ7hx8tLNT/
2025-08-08,"[Tarih: 2025-08-08] Dayanma Kprleri: Konteyner Kentlerde Umut ve yileme Gaziantep / 2024-1-TR01-ESC30-SOL-000228807 Avrupa Dayanma Program kapsamnda yrttmz Dayanma Kprleri projesiyle, Nurda ve slahiyedeki konteyner yaam alanlarnda ocuklarla yeniden umut ina ediyoruz. Birlikte oyunlar oynuyor, renkli hayaller iziyor, masallarn iyiletirici gcne sarlyoruz. Psikososyal destek almalaryla ocuklarn yaad travmalar birlikte onaryor, dayanmann scaklyla yaralar iyiletiriyoruz. Depremin ardndan yalnzca binalar deil, hayaller de sarsld. Ama biz biliyoruz ki, her ocuun tebessm yeniden filizlenen bir umuttur. Bu corafyada umudu yeniden yeertmek iin buradayz. nk birlikte iyilemek mmkndr. Ve biz, bu iyilemenin tam kalbindeyiz.",https://www.instagram.com/p/DNGIktdtGsc/
2025-08-07,"[Tarih: 2025-08-07] Dayanma Kprleri: Konteyner Kentlerde Umut ve yileme Hatay 2024-1-TR01-ESC30-SOL-000228807 Avrupa Dayanma Program kapsamnda yrttmz projemizle Hataydaki konteyner kentlerde ocuklarla bir araya gelmeye devam ediyoruz. Oyunlar oynuyor, resimler yapyor, masallar anlatyoruz Psikososyal destek almalaryla, ocuklarmzn yaralarn birlikte saryor, umut dolu anlar ina ediyoruz. Depremin ilk gnnden bu yana kesintisiz sren dayanmamzla, her glmsemede yeniden g buluyoruz. nk biliyoruz ki birlikte iyileiriz.",https://www.instagram.com/p/DNDfBNutQ3g/
2025-08-05,"[Tarih: 2025-08-05] Yeilay Ekrandan Uzak Beceri Gelitirme Kamp, unutulmaz anlarla dolu bir kamp atei etkinliiyle sona erdi. Son geceye pek Yolu Genel Koordinatrmz Hakan Karabulut da elik ederek genlerle bir araya geldi, keyifli sohbetler ve paylamlar yapld. Ekranlardan uzak, dostluk ve dayanma dolu bu gzel kamp birlikte tamamladk.",https://www.instagram.com/p/DM_ODOotlgu/
2025-08-05,"[Tarih: 2025-08-05] Yeilay Ekrandan Uzak Beceri Gelitirme Kamp El Becerileri Atlyesi ile genlerimiz hem odaklanma yetilerini gelitirdi hem de retmenin keyfini yaad. Ekranlardan uzak, emee ve yaratcla yakn bir gn geirdik!",https://www.instagram.com/p/DM9u_lYN4S4/
